"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Croatian Twitter training corpus ReLDI-NormTagNER-hr 2.0 ";"http://hdl.handle.net/11356/1170";"89,000 tokens";"tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and Named Entity recognition";"CC BY 4.0";;"Croatian";"This corpus contains Tweets.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.";"Manually annotated corpora";"KonText#SEPnoSketch#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=reldi_hr#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=reldi_hr&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1043";"Miličević and Ljubešić (2016)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#milicevic";
"Training corpus hr500k 1.0";"http://hdl.handle.net/11356/1183";"500,000 tokens";"tokenisation, sentence segmentation, morphosyntactic tagging, lemmatisation and Named Entity recognition. Half of corpus also syntactically parsed";"CC BY-SA 4.0";;"Croatian";"This corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.";"Manually annotated corpora";"KonText#SEPnoSketch#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=hr500k#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=hr500k&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1183";;;
"Czech Named Entity Corpus 1.1";"http://hdl.handle.net/11858/00-097C-0000-0023-1B04-C";"5868 sentences, 35220 NEs";"Named Entity recognition";"CC BY-NC-SA 3.0";;"Czech";"This corpus is available for download from LINDAT.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11858/00-097C-0000-0023-1B04-C";"Kravalová and Žabokrtský (2009)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Kravalov%C3%A1%20and%20%C5%BDabokrtsk%C3%BD%202009";
"xLiMe Twitter Corpus XTC 1.0.1";"http://hdl.handle.net/11356/1078";"364,000 tokens";"PoS tagging, Named Entity recognition, sentiment analysis";"MIT License";;"German, Italian, Spanish";"This corpus contains Tweets.#SEPThe corpus is available for download from the CLARIN.SI repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11356/1078";"Rei et al. (2016)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Rei%20et%20al.";
"KPWr (Polish Corpus of Wrocław University of Technology) 1.2";"http://hdl.handle.net/11321/270";"447,000 tokens";"chunks and selected predicate-argument relations, Named Entity recognition, relations between named entities, anaphora relations, word senses, events, temporal expressions, spatial relations between entities, keywords and semantic roles within nominal and adjective phrases";"CC BY-SA 3.0";;"Polish";"This corpus contains texts in a variety of domains (blogs, science, stenographic recordings, etc.).#SEPThe corpus is available for download from the CLARIN-PL repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11321/270";;;
"Polish Spatial Texts 1.0";"http://hdl.handle.net/11321/543";"46,000 tokens";"Named Entity recognition (spatial expressions)";"CC BY-SA 4.0";;"Polish";"This corpus contains travel blogs.#SEPThe corpus is available for download from the CLARIN-PL repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11321/543";;;
"CINTIL-Corpus Internacional do Português";"https://hdl.handle.net/21.11129/0000-000B-D33B-5";"1 million tokens";"morphosyntactic tagging, Named Entity recognition";"CLARIN RES";;"Portuguese";"The corpus contains transcriptions of spoken communication as well as written texts from several genres (news, literature, magazines, etc.).#SEPThe corpus is available for download from the CLARIN PORTULAN repository.";"Manually annotated corpora";"Download";"https://hdl.handle.net/21.11129/0000-000B-D33B-5";;;
"Training corpus SETimes.SR 1.0";"http://hdl.handle.net/11356/1200";"87,000 tokens";"tokenisation, sentence segmentation, morphosyntactic tagging, lemmatisation, syntactic parsing, and Named Entity recognition";"CC BY-SA 4.0";;"Serbian";"This corpus contains posts from the Southeast European Times news portal, which is now no longer being updated.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.";"Manually annotated corpora";"KonText#SEPnoSketch#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=setimes_sr#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=setimes_sr&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1200";"Batanović et al. (2018)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#batanovic";
"Serbian Twitter training corpus ReLDI-NormTagNER-sr 2.0";"http://hdl.handle.net/11356/1171";"92,000 tokens";"tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and Named Entity recognition";"CC BY 4.0";;"Serbian";"This corpus contains Tweets.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.";"Manually annotated corpora";"KonText#SEPnoSketch#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=reldi_sr#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=reldi_sr&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1171";"Miličević and Ljubešić (2016)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#milicevic";
"CMC training corpus Janes-Tag 2.0";"http://hdl.handle.net/11356/1123";"75,000 tokens";"tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and Named Entity recognition";"CC BY-SA 4.0";;"Slovenian";"This corpus contains computer-mediated communication (CMC).#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.";"Manually annotated corpora";"KonText#SEPnoSketch#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=janes_tag#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=janes_tag&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1123";"Fišer et al. (2018)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#fiser";
"Training corpus ssj500k 2.1";"http://hdl.handle.net/11356/1181";"586,000 tokens";"fully – tokenisation, sentence segmentation, morphosyntactic tagging, and lemmatisation. Half of the corpus – syntactic parsing, Named Entity recognition, and verbal multiword expression tagging. Quarter of corpus: semantic roles";"CC BY-NC-SA 4.0";;"Slovenian";"This corpus contains standard Slovenian.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.";"Manually annotated corpora";"KonText#SEPnoSketch#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=ssj500k21#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=ssj500k21&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1181";;;
