Corpus,Corpus_URL,Size,Linguistic information,Licence,Language,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
A digital dictionary of Damascus Arabic,http://hdl.handle.net/11022/0000-0007-C093-9,"4,218 entries","basic morphological information, usage examples",CC-BY-NC-SA 3.0,Arabic (Damascus),"This small-sized dictionary of Spoken Damascus Arabic has mainly been compiled for comparative and didactic purposes, and comprises all words in Prochazka's 2-volume textbook <em>Lehrbuch des Syrisch-Arabischen</em>. The resource is available for download from ARCHE.",Download,http://hdl.handle.net/11022/0000-0007-C093-9,,,
A digital dictionary of Modern Standard Arabic,http://hdl.handle.net/11022/0000-0007-C265-C,"2,418 entries","basic morphological information, a few usage examples",CC-BY-NC-SA 3.0,Arabic (Modern Standard),This small-sized dictionary of Modern Standard Arabic has mainly been compiled for comparative and didactic purposes. The resource is available for download from ARCHE.,Download,http://hdl.handle.net/11022/0000-0007-C265-C,,,
A Digital Dictionary of Tunis Arabic,https://id.acdh.oeaw.ac.at/uuid/175b8cdf-5d04-f4d3-a778-67910aa8fd37,"7,543 entries ",,CC-BY-NC-SA 3.0,Arabic (Tunis),This dictionary includes entries from the TuniCo corpus and is additionally based on data elicited from complementary interviews with young Tunisians and lexical material taken from published historical sources dating back to the middle of the 20th century. The resource is available for download from ARCHE.,Download,http://id.acdh.oeaw.ac.at/uuid/175b8cdf-5d04-f4d3-a778-67910aa8fd37,,,
A digital dictionary of Dagaare,http://hdl.handle.net/11022/0000-0007-C267-A,1252 entries,"PoS-tags, nominal and verbal valency",CC-BY-NC-SA 3.0,Dagaare,"This dictionary, which illustrates salient aspects of the Dagaare lexico-grammatical system, is available for download from ARCHE.",Download,http://hdl.handle.net/11022/0000-0007-C267-A,,,
"Jysk Ordbog (a-h), 17. April, 2011, xml-edition",http://hdl.handle.net/20.500.12115/27,"16,000 entries",,CC BY-SA 4.0,Danish,This is a dictionary of Danish dialects spoken in Jutland between 1700 and 1920. The resource is available for download from CLARIN-DK.,Download,http://hdl.handle.net/20.500.12115/27,,,
Dictionary of Contemporary Dutch (ANW),http://anw.inl.nl/,"255,239 words",,,Dutch,"This dictionary describes Dutch vocabulary from 1970 onwards. The resource is available for download from the Dutch Language Institute (INT).#SEPFor a list of related publications, see the following <a href=""http://anw.inl.nl/publicaties"">webpage</a>.",Download,http://anw.inl.nl/,,,
Dictionary of Middle Dutch (MNW),http://gtb.ivdnt.org/search/?owner=mnw,"60,000 lemmas",,,Dutch,This is a historical dictionary of Medieval Dutch vocabulary from the period between 1250 and 1550. The resource is available for online browsing through the Dutch Language Institute (INT).,Browse,https://gtb.ivdnt.org/search/?owner=mnw,,,
Dictionary of Old Dutch (ONW),http://gtb.ivdnt.org/search/?owner=onw,,,other,Dutch,This is a historical dictionary of Old Dutch vocabulary from the period from the period between 500 and 1200. The resource is available for online browsing through the Dutch Language Institute (INT).,Browse,https://gtb.ivdnt.org/search/?owner=onw,,,
Early Middle Dutch Dictionary (VMNW),http://gtb.ivdnt.org/search/?owner=vmnw,"25,000 lemmas",,other,Dutch,This is a historical dictionary of Early Medieval Dutch vocabulary from the period between 1200 and 1300. The resource is available for online browsing through the Dutch Language Institute (INT).,Browse,https://gtb.ivdnt.org/search/?owner=vmnw,,,
iWNT,http://gtb.ivdnt.org/search/?owner=wnt,"95,000 lemmas",,other,Dutch,"The dictionary describes the meaning and history of hundred thousands of words in written Dutch, from the period 1500-1976. The resource is available for online browsing through the Dutch Language Institute (INT).",Browse,https://gtb.ivdnt.org/search/?owner=wnt,,,
English Hask Collocation Database,http://pelcra.pl/hask_en/,"150,045 entries containing 2,875,407 word combinations",,CC-BY-NC,English,"HASK collocation dictionaries are phraseological databases used by linguists, language teachers, lexicographers, language materials developers, translators and other language professionals and casual dictionary users. The resource is available for online browsing through the PELCRA environment.",Browse,https://gtb.ivdnt.org/search/?owner=wnt,,,
First Estonian Slang Dictionary,http://www.doi.org/10.15155/3-00-0000-0000-0000-05AEFL,"7,500 keywords",,proprietary,Estonian,This is a dictionary of Estonian slang that is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://portaal.eki.ee/dict/slang#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05AEFL,,,
Low-German Loanwords in the Estonian Language,http://www.doi.org/10.15155/3-00-0000-0000-0000-05AF1L,"1,150 keywords",,CLARIN ACA,Estonian,This is a dictionary of Low-German loanwords. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://www.eki.ee/dict/asl/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05AF1L,,,
Online Dictionary of Standard Estonian ÕS 2018,http://www.doi.org/10.15155/3-00-0000-0000-0000-079CEL,"59,275 keyword","standardised orthography, phonology, MSD-tags",CC-BY,Estonian,This is a normative dictionary of modern standard Estonian. The resource is available for download from META-SHARE (CELR distribution) and online browsing through a dedicated website.,Browse#Download,http://www.eki.ee/dict/qs2018/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-079CEL,,,
The Advisory Dictionary of Document Language,https://www.doi.org/10.15155/3-00-0000-0000-0000-05AF5L,"1,200 keywords",,CLARIN ACA,Estonian,"This is a dictionary for simple, plain and precise expression in official communication. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.",Browse#Download,http://www.eki.ee/dict/ametnik/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05AF5L,,,
The Basic Estonian Dictionary,http://www.doi.org/10.15155/3-00-0000-0000-0000-05925L,"50,000 keywords",,CC-BY,Estonian,The is a monolingual dictionary that includes important Estonian words explained in simple language. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated webpage.,Browse#Download,http://www.eki.ee/dict/psv/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05925L,,,
The Dialectological Dictionary of Estonian,https://www.doi.org/10.15155/3-00-0000-0000-0000-05923L,"73,397 keywords",geographical distribution,proprietary,Estonian,This is a dictionary that provides a survey of Estonian dialect words and their areal distribution. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,,http://portaal.eki.ee/dict/vms#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05923L,,,
The Dictionary of Estonian Antonyms,http://www.doi.org/10.15155/3-00-0000-0000-0000-05929L,"2,000 antonym pairs",,CLARIN ACA,Estonian,"The dictionary contains antonym pairs, most of which belong to general language. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.",Browse#Download,http://portaal.eki.ee/dict/antonyymid#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05929L,,,
The Dictionary of Estonian Dialects (2013-...),http://www.doi.org/10.15155/3-00-0000-0000-0000-06338L,,"geographical distribution, phonetic/phonological information",CLARIN ACA,Estonian,"The is a dialectal dictionary with phonetic and grammatical information, information on the area of distribution, and meaning of dialectal words. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.",Browse#Download,http://www.eki.ee/dict/ems/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-06338L,,,
The Dictionary of Estonian Phraseology,http://doi.org/10.15155/3-00-0000-0000-0000-05772L,"7,500 phrasemes",,CLARIN ACA,Estonian,This is a dictionary that contains phrasemes from various stylistic registers. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://portaal.eki.ee/dict/fraseoloogia#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05772L,,,
The Dictionary of Estonian Synonyms,http://doi.org/10.15155/3-00-0000-0000-0000-05AF3L,"10,000 synsets",,CLARIN ACA,Estonian,This is a comprehensive dictionary of Estonian synonyms. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://portaal.eki.ee/dict/synonyymid#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05AF3L,,,
The Dictionary of Estonian Word Families - Index,http://doi.org/10.15155/3-00-0000-0000-0000-064DFL,"120,000 words",,CLARIN ACA,Estonian,A word family consists of all the words that are linked by formative processes and share one and the same word stem. The resource is available for online browsing.,Browse,http://portaal.eki.ee/dict/spi/,,,
The Dictionary of Foreign Words,http://doi.org/10.15155/3-00-0000-0000-0000-05AF7L,"33,000 keywords","orthography, inflection, semantics and etymology of the words; for many unadapted foreign words the pronunciation is given, both audio and written; the understanding and use of the words is facilitated by labels and cross-references.",CC-BY,Estonian,This is a dictionary that contains widespread Estonian words of foreign origin. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://www.eki.ee/dict/vsl/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05AF7L,,,
The Dictionary of Old Võru Dialect,http://doi.org/10.15155/3-00-0000-0000-0000-0679AL,"10,000 keywords",,CC-BY,Estonian,The dictionary is on the archaic Võru dialect spoken in the second half of the 19th and in the first half of the 20th century. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://www.eki.ee/dict/Voru_murde_sonaraamat.pdf#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-0679AL,,,
The Dictionary of the Eastern Dialect,http://www.doi.org/10.15155/3-00-0000-0000-0000-05B53L,"7,000 keywords",,CLARIN ACA,Estonian,This is a dialectal dictionary. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://www.eki.ee/dict/ida/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05B53L,,,
The Dictionary of the Hiiu Dialect,http://doi.org/10.15155/3-00-0000-0000-0000-05B51L,"6,300 entries",,CLARIN ACA,Estonian,This dialectal dictionary is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://www.eki.ee/dict/hiiu/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05B51L,,,
The Dictionary of the Kihnu Dialect,http://doi.org/10.15155/3-00-0000-0000-0000-06326L,"6,000 keywords",,CLARIN ACA,Estonian,This is the first dictionary of the Hiiu vernacular. The entries also give sentence examples with reference to their source parish. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://www.eki.ee/dict/kihnu/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-06326L,,,
The Dictionary of the Mulgi Dialect,http://doi.org/10.15155/3-00-0000-0000-0000-06336L,"4,000 keywords","sentence examples, synonymy",CLARIN ACA,Estonian,"This is a dialectal dictionary searchable by keyword (in dialect spelling), standard Estonian equivalent (meaning) or style label. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.",Browse#Download,http://www.eki.ee/dict/mulgi/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-06336L,,,
The Dictionary of the Seto Dialect,http://doi.org/10.15155/3-00-0000-0000-0000-05B4FL,"6,000 keywords",dialect orthography and simplified spelling without diacritical marks,CLARIN ACA,Estonian,This is the first online Seto dictionary accessible to search both in dialect orthography and in simplified spelling (without diacritical marks). The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://www.eki.ee/dict/setosonastik/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05B4FL,,,
The Estonian Etymological Dictionary,http://www.doi.org/10.15155/3-00-0000-0000-0000-05770L,"6,600 keywords","origin of Estonian word stems and the genetic links between words (loanwords, genuine stems, artificially coined stems etc)",CLARIN ACA,Estonian,This etymological dictionary is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.,Browse#Download,http://www.eki.ee/dict/ety/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05770L,,,
The Explanatory Dictionary of Estonian Language,http://www.doi.org/10.15155/3-00-0000-0000-0000-0576BL,"154,000 keywords",,CLARIN ACA,Estonian,"This is the biggest dictionary of the Estonian language, which covers Estonian standard language as a whole, including spoken language and special languages. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.",Browse#Download,http://www.eki.ee/dict/ekss/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-0576BL,,,
Dictionary of Contemporary Finnish,http://urn.fi/urn:nbn:fi:lb-201411261,"100,000 entries",,CLARIN RES,Finnish,This is a dictionary of modern Finnish that is available for online browsing through the Language Bank of Finland.,Browse,http://www.kielitoimistonsanakirja.fi/,,,
Dictionary of Finnish Dialects,http://urn.fi/urn:nbn:fi:lb-201411263,growing,,CLARIN RES,Finnish,This is a dialect dictionary that is available for online browsing through the Language Bank of Finland.,Browse,http://kaino.kotus.fi/sms,,,
Dictionary of Old Literary Finnish,http://urn.fi/urn:nbn:fi:lb-201411262,growing,,CC-BY 4.0,Finnish,This is a dictionary of Old Literary Finish. The resource is available for online browsing through the Language Bank of Finland.,Browse,http://kaino.kotus.fi/vks,,,
Wurdboek fan de Frsyke taal,http://gtb.ivdnt.org/search/?owner=wft,"120,000 lemmas",,other,Frisian,"This dictionary describes the meaning and history of hundred thousands of words in written Frisian, from the period 1800-1976. The resource is available for online browsing through the Dutch Language Institute (INT).",Browse,http://gtb.ivdnt.org/search/?owner=wft,,,
Digital Dictionary of the German Language (DWDS),https://www.dwds.de/,"approx. 500,000 entries","morphosyntactic information, pronunciation, etymology, lexical relations, examples of use, typical word connections",,German,"This collection consists of the following digitized dictionaries:#SEP<ol>    <li><a href=""https://www.dwds.de/d/wb-wdg"">Dictionary of contemporary German</a></li>    <li><a href=""https://www.dwds.de/d/wb-dwdswb"">DWDS-Dictionary</a></li>    <li><a href=""https://www.dwds.de/d/wb-etymwb"">Etymological dictionary of German</a></li>    <li><a href=""https://www.dwds.de/d/wb-1dwb"">The German Dictionary by Jacob Grimm and Wilhelm Grimm</a></li>    <li><a href=""https://www.dwds.de/d/wb-duden"">The Great Dictionary of the German Language in 10 Volumes</a></li>    <li><a href=""https://www.dwds.de/d/wb-openthesaurus"">OpenThesaurus</a></li>   </ol>#SEPThis collection is available for online browsing from a dedicated environment associated with CLARIN-D.",Browse,http://www.dwds.de/,,,
Pronunciation Dictionary,http://clarin.is/en/resources/prondict/,"65,000 words",IPA and SAMPA phonetic transcription,CC-BY 3.0,Icelandic,This is a dictionary with pronunciation information for common Icelandic words. The resource is available for download from CLARIN-IS.,Download,http://clarin.is/en/resources/prondict/,,,
Karelian Dictionary,http://urn.fi/urn:nbn:fi:lb-20140730157,"83,000 entries",,CC-BY 4.0,Karelian,This is a monolingual dictionary that is available for download and for online browsing through the Language Bank of Finland.,Browse#Download,http://kaino.kotus.fi/cgi-bin/kks/kks_etusivu.cgi#SEPhttp://urn.fi/urn:nbn:fi:lb-2015110501,,,
Dictionary of Modern Latvian (MLVV),http://tezaurs.lv/mlvv/,"45,877 entries",,,Latvian,The resource is available for online browsing.,Browse,http://tezaurs.lv/mlvv/,,,
Dictionary of Standard Latvian Language (LLVV),http://tezaurs.lv/llvv/,"64,200 entries",,,Latvian,This is a dictionary that contains examples of the standard Latvian language from the 1870s to the 1990s. The resource is available for online browsing.,Browse,http://tezaurs.lv/llvv/,,,
Historical Dictionary of Latvian (16th-17th Centuries) (LVVV),http://tezaurs.lv/lvvv/,"1,800 entries",,,Latvian,This is a dictionary of Latvian from the period between the 16th and 17th centuries with a reference to the “Historical Corpus of the Latvian Language”. The resource is available for online browsing.,Browse,http://tezaurs.lv/lvvv/,Andronova et al. (2016),https://www.clarin.eu/resource-families/lexical-resources-dictionaries#Andronova%20et%20al.%202016,
Rendering Dictionary of Personal Names,https://www.letonika.lv/groups/default.aspx?g=2&r=1109,"4,000 entries",,,Latvian,"This dictionary contains person names in four languages (Czech, French, Italian and German) and their renderings in Latvian in accordance with the rendering rules of proper nouns. The resource is available for online browsing.",Browse,http://www.letonika.lv/groups/default.aspx?g=2&r=1109,,,
Tezaurs.lv,http://tezaurs.lv/,"309,016 entries",,,Latvian,This is a comprehensive corpus-based dictionary of the Latvian language. The resource is available for online browsing.,Browse,http://tezaurs.lv/,Spektors et al. (2016),https://www.clarin.eu/resource-families/lexical-resources-dictionaries#Spektors%20et%20al.%202016,
Dictionaries of the CLARIN-PL Lexical Platform,http://lexp.clarin-pl.eu/,"512,973 entries",,Other - Institute of Computer Science PAS,Polish,"This is a collection of the following 4 dictionaries, which are available through the same online environment:#SEP<ol>     <li><a href=""http://lexp.clarin-pl.eu/"">Grammatical Dictionary of Polish</a> (334,845 entries)</li>     <li><a href=""https://eswil.ijp.pan.pl/index.php"">Vilnius Dictionary</a> (108,513 entries)</li>     <li><a href=""http://spxvi.edu.pl/"">The Polish Electronic Dictionary of the 16th c</a>. (30,700 entries)</li>     <li><a href=""http://spxvi.edu.pl/"">The Polish Electronic Dictionary of the 17th and 18th c.</a> (38,915 entries)</li>    </ol>#SEPAll the 4 dictionaries are available through the same online lexical platform developed by CLARIN-PL.",,,,,
Polish Hask Collocation Database,http://pelcra.pl/hask_pl/,"106,723 entries containing 5,636,857 combinations",,CC-BY-NC,Polish,"HASK collocation dictionaries are phraseological databases used by linguists, language teachers, lexicographers, language materials developers, translators and other language professionals and casual dictionary users. The resource is available for online browsing through the PELCRA environment.",Browse,http://pelcra.pl/hask_pl/,,,
Dictionary of Lesser Used Slovenian Words,http://hdl.handle.net/11356/1130,"178,457 entries",MSD-tags,CC-BY 4.0,Slovenian,This is a dictionary that contains entries that were not included in the Dictionary of the Slovenian Standard Language. The resource is available for download from CLARIN.SI and for online browsing.,Browse#Download,http://bos.zrc-sazu.si/besedisc.html#SEPhttp://hdl.handle.net/11356/1130,,,
Dictionary of New Slovenian Words,http://hdl.handle.net/11356/1091,"6,399 entries",,CC-BY 4.0,Slovenian,This is a dictionary of new words and neologisms. The resource is available for download from CLARIN.SI and for online browsing.,Browse#Download,http://www.fran.si/131/snb-slovar-novejsega-besedja#SEPhttp://hdl.handle.net/11356/1091,,,
Dictionary of Slovenian Particles,http://hdl.handle.net/11356/1128,429 entries,,CC-BY 4.0,Slovenian,"This is a dictionary of connectives, disjuncts, emphasisers; not to be confused with English adverbial particles despite its name. The resource is available for download from CLARIN.SI and for online browsing.",Browse#Download,http://www.termania.net/slovarji/127/slovar-slovenskih-clenkov#SEPhttp://hdl.handle.net/11356/1128,Žele (2015),https://www.clarin.eu/resource-families/lexical-resources-dictionaries#%C5%BDele%202015,
Dictionary of Slovenian Phrasemes,http://hdl.handle.net/11356/1129,"3,002 entries",descriptions and explanations of Slovenian phrasemes,CC-BY-NC 4.0,Slovenian,This is a multiword lexicon available for download from CLARIN.SI and for online browsing through a dedicated environment.,Browse#Download,http://www.termania.net/slovarji/127/slovar-slovenskih-clenkov#SEPhttp://hdl.handle.net/11356/1129,,,
Dictionary of the Slovenian Language in the Works of Janez Svetokriški,http://hdl.handle.net/11356/1092,"8,540 entries",,CC-BY 4.0,Slovenian,This is a historical dictionary compiling the works of Janez Svetokriški. The resource is available for download from CLARIN.SI and for online browsing.,Browse#Download,http://www.fran.si/139/slovar-jezika-janeza-svetokriskega#SEPhttp://hdl.handle.net/11356/1092,,,
Dictionary of Twitterese Janes-Dict 1.0,http://hdl.handle.net/11356/1172,"1,002 entries",,CC-BY-SA 4.0,Slovenian,This is a dictionary of computer-mediated communication appearing on Twitter. The resource is available for download from CLARIN.SI and for online browsing.,Browse#Download,http://lexonomy.cjvt.si/slovar-tviterscine/#SEPhttp://hdl.handle.net/11356/1172,Gantar et al. (2016),https://www.clarin.eu/resource-families/lexical-resources-dictionaries#Gantar%20et%20al.%202016,
Reverse dictionary of Slovenian language,http://hdl.handle.net/11356/1094,"115,355 entries",,CC-BY 4.0,Slovenian,This is a dictionary where headwords are sorted by last-to-first letter. The resource is available for download from CLARIN.SI.,Download,http://hdl.handle.net/11356/1094,,,
Words of the 16th-Century Slovenian Literary Language,http://hdl.handle.net/11356/1127,"27,759 entries","PoS-tags, phonological features",CC-BY 4.0,Slovenian,This is a historical dictionary that provides comprehensive information on the vocabulary used in the Slovenian literary language during the period of the Reformation. The resource is available for download from CLARIN.SI and for online browsing.,Browse#Download,http://www.fran.si/iskanje?FilteredDictionaryIds=140&View=1&Query=%2A#SEPhttp://hdl.handle.net/11356/1127,,,
Dalin's Dictionary (2017-10-16),http://hdl.handle.net/10794/16,"62,975 entries",,CC-BY 4.0,Swedish,Dalin's Dictionary of 19th century Swedish. The resource can be download from the SWE-CLARIN repository and can be queried online through KARP.,Browse#Download,"https://spraakbanken.gu.se/karp/#?mode=dalin&resources=dalin,dalinm,dalin-base#SEPhttp://hdl.handle.net/10794/16",,,
Hellquist's Swedish etymology (2017-10-16),http://hdl.handle.net/10794/26,"12,376 entries",,CC-BY 4.0,Swedish,This is an etymological dictionary that is available for download from the SWE-CLARIN repository and can be queried online through KARP.,Browse#Download,https://spraakbanken.gu.se/karp/#?mode=hellqvist#SEPhttp://hdl.handle.net/10794/26,,,
Online Lexicon of Veps Language,,,,EUPL,Veps,This is a dictionary of the Veps Language available for online browsing through FIN-CLARIN.,Browse#Download,http://kaino.kotus.fi/sanat/vepsa/#SEPhttp://urn.fi/urn:nbn:fi:lb-20140730178,,,
